Episode,Total_Reward,Is_Success,Obj0_Color,Obj0_Status,Obj0_Reward,Obj1_Color,Obj1_Status,Obj1_Reward,Obj2_Color,Obj2_Status,Obj2_Reward,Obj3_Color,Obj3_Status,Obj3_Reward,Obj4_Color,Obj4_Status,Obj4_Reward,Obj5_Color,Obj5_Status,Obj5_Reward,Obj6_Color,Obj6_Status,Obj6_Reward,Obj7_Color,Obj7_Status,Obj7_Reward,Obj8_Color,Obj8_Status,Obj8_Reward,Obj9_Color,Obj9_Status,Obj9_Reward
1,13134,False,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,r,Fail,0
2,11637,False,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,g,Fail,0,r,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0
3,8160,False,b,Fail,0,r,Indep_Success,1,r,Indep_Success,1,g,Coop_Success,2,g,Fail,0,b,Coop_Success,2,r,Fail,0,r,Fail,0,r,Fail,0,r,Fail,0
4,13295,True,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1
5,12965,True,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1
6,15683,True,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2
7,15453,True,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2
8,13940,True,r,Indep_Success,1,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1
9,13751,True,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2
10,15581,True,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1
11,14884,True,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1
12,13750,True,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,g,Coop_Success,2,b,Coop_Success,2
13,15630,True,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1
14,9671,False,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,r,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0,g,Fail,0
