Episode,Total_Reward,Is_Success,Obj0_Color,Obj0_Status,Obj0_Reward,Obj1_Color,Obj1_Status,Obj1_Reward,Obj2_Color,Obj2_Status,Obj2_Reward,Obj3_Color,Obj3_Status,Obj3_Reward,Obj4_Color,Obj4_Status,Obj4_Reward,Obj5_Color,Obj5_Status,Obj5_Reward,Obj6_Color,Obj6_Status,Obj6_Reward,Obj7_Color,Obj7_Status,Obj7_Reward,Obj8_Color,Obj8_Status,Obj8_Reward,Obj9_Color,Obj9_Status,Obj9_Reward
1,11106,False,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0,r,Indep_Success,1,g,Fail,0,g,Fail,0,b,Fail,0,r,Indep_Success,1
2,4607,False,r,Fail,0,r,Indep_Success,1,g,Fail,0,b,Fail,0,g,Fail,0,r,Indep_Success,1,b,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0
1,6951,False,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,r,Fail,0,b,Fail,0,r,Fail,0,g,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0
2,2740,False,r,Fail,0,r,Indep_Success,1,g,Fail,0,b,Fail,0,g,Fail,0,r,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0
1,14300,False,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,g,Fail,0,g,Coop_Success,2,b,Fail,0,r,Indep_Success,1
2,7335,False,r,Indep_Success,1,r,Fail,0,g,Fail,0,b,Fail,0,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,g,Fail,0,b,Fail,0,r,Fail,0
3,5852,False,b,Coop_Success,2,g,Coop_Success,2,g,Fail,0,b,Fail,0,b,Fail,0,g,Fail,0,g,Fail,0,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0
4,7351,False,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,r,Indep_Success,1,b,Fail,0,g,Fail,0
1,11221,False,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0,r,Indep_Success,1,g,Fail,0,g,Fail,0,b,Fail,0,r,Indep_Success,1
2,10076,False,r,Indep_Success,1,r,Indep_Success,1,g,Fail,0,b,Fail,0,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,g,Fail,0,b,Fail,0,r,Fail,0
1,13284,False,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,g,Fail,0,b,Fail,0,r,Fail,0
2,11037,False,r,Indep_Success,1,r,Indep_Success,1,g,Fail,0,b,Fail,0,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,g,Fail,0,b,Fail,0,r,Indep_Success,1
1,13259,False,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,g,Fail,0,b,Fail,0,r,Fail,0
1,15397,True,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1
2,9139,False,r,Indep_Success,1,r,Fail,0,g,Fail,0,b,Fail,0,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1
3,4988,False,b,Coop_Success,2,g,Coop_Success,2,g,Fail,0,b,Fail,0,b,Fail,0,g,Fail,0,g,Fail,0,r,Fail,0,r,Fail,0,b,Fail,0
4,7147,False,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,r,Fail,0,b,Fail,0,g,Fail,0
5,11730,False,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,r,Fail,0,r,Fail,0,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2
1,14426,False,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,g,Fail,0,b,Fail,0,r,Indep_Success,1
2,8307,False,r,Indep_Success,1,r,Fail,0,g,Fail,0,b,Fail,0,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1
3,8756,False,b,Coop_Success,2,g,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,b,Fail,0,g,Fail,0,g,Fail,0,r,Fail,0,r,Fail,0,b,Fail,0
4,7171,False,g,Coop_Success,2,b,Coop_Success,2,r,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2
5,16186,True,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2
6,13079,False,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,r,Fail,0,g,Fail,0
7,12850,False,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,r,Fail,0,r,Indep_Success,1,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1
8,14977,True,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2
9,14992,False,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,g,Coop_Success,2,r,Indep_Success,1,b,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,r,Fail,0,r,Indep_Success,1
10,6998,False,r,Indep_Success,1,b,Coop_Success,2,r,Fail,0,g,Coop_Success,2,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,g,Fail,0,b,Fail,0
