Episode,Total_Reward,Is_Success,Obj0_Color,Obj0_Status,Obj0_Reward,Obj1_Color,Obj1_Status,Obj1_Reward,Obj2_Color,Obj2_Status,Obj2_Reward,Obj3_Color,Obj3_Status,Obj3_Reward,Obj4_Color,Obj4_Status,Obj4_Reward,Obj5_Color,Obj5_Status,Obj5_Reward,Obj6_Color,Obj6_Status,Obj6_Reward,Obj7_Color,Obj7_Status,Obj7_Reward,Obj8_Color,Obj8_Status,Obj8_Reward,Obj9_Color,Obj9_Status,Obj9_Reward
1,6449,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Indep_Success,1,r,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0,r,Fail,0
2,11371,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,b,Fail,0,r,Fail,0,g,Fail,0,r,Indep_Success,1
3,8025,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Fail,0,b,Coop_Success,2,g,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,r,Indep_Success,1
4,4998,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0,r,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0
5,7378,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,r,Fail,0
6,7081,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0,g,Fail,0,r,Indep_Success,1,r,Indep_Success,1,r,Fail,0
7,5594,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,r,Fail,0,r,Indep_Success,1
8,11256,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0
9,12468,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,g,Fail,0,b,Fail,0
10,9615,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Indep_Success,1,g,Fail,0,r,Fail,0,b,Fail,0
11,5886,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,r,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,r,Fail,0,r,Indep_Success,1,r,Fail,0
12,10229,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,r,Fail,0,r,Indep_Success,1,r,Indep_Success,1
13,6531,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Indep_Success,1,r,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0
14,10523,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Indep_Success,1,r,Fail,0,b,Coop_Success,2,g,Coop_Success,2
15,5002,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0
16,7187,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,b,Fail,0,r,Indep_Success,1,g,Fail,0,r,Indep_Success,1,b,Fail,0,g,Fail,0
17,617,False,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0,g,Fail,0,r,Indep_Success,1
18,11262,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,b,Fail,0,g,Fail,0,r,Fail,0,r,Fail,0
19,8836,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Fail,0,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,b,Fail,0,g,Fail,0
20,11565,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Indep_Success,1,r,Indep_Success,1,b,Coop_Success,2,r,Indep_Success,1,g,Coop_Success,2,r,Indep_Success,1
21,11482,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Fail,0,r,Fail,0,b,Fail,0,r,Fail,0
22,9763,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Indep_Success,1,b,Fail,0,r,Fail,0,g,Fail,0
23,5704,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Fail,0,r,Fail,0,g,Fail,0,r,Indep_Success,1,b,Fail,0,r,Fail,0
24,10196,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,g,Fail,0,r,Indep_Success,1,b,Fail,0,b,Fail,0,g,Fail,0,r,Indep_Success,1
25,7944,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Indep_Success,1,g,Fail,0,r,Fail,0,b,Fail,0,g,Coop_Success,2,b,Coop_Success,2
26,8798,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,g,Fail,0,b,Fail,0,b,Fail,0,g,Fail,0
27,0,False,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0,r,Fail,0,g,Fail,0,g,Fail,0,b,Fail,0
28,6542,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Indep_Success,1,r,Fail,0,b,Fail,0,g,Fail,0,g,Fail,0,b,Fail,0
29,7192,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Indep_Success,1,g,Fail,0,r,Fail,0,b,Fail,0,r,Indep_Success,1,r,Fail,0
30,6762,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Fail,0,b,Fail,0,r,Indep_Success,1,g,Fail,0,g,Fail,0,b,Fail,0
31,6541,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Indep_Success,1,g,Fail,0,b,Fail,0,b,Fail,0,g,Fail,0,r,Fail,0
32,8646,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,g,Fail,0,b,Fail,0
33,9724,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,r,Indep_Success,1,g,Fail,0,b,Fail,0,r,Indep_Success,1,g,Fail,0
34,5002,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,g,Fail,0,r,Fail,0,b,Fail,0,r,Fail,0,b,Fail,0,g,Fail,0
35,8798,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,g,Fail,0,b,Fail,0,g,Fail,0,r,Fail,0,r,Fail,0,b,Fail,0
36,9674,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,r,Fail,0,r,Fail,0,b,Fail,0,g,Fail,0,r,Indep_Success,1,r,Fail,0
37,8806,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0
38,7122,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Fail,0,r,Indep_Success,1,r,Indep_Success,1,g,Fail,0,r,Fail,0,b,Fail,0
39,9015,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Fail,0,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,g,Fail,0,b,Fail,0
40,9758,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Indep_Success,1,b,Fail,0,g,Fail,0,r,Indep_Success,1
41,10061,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Indep_Success,1,g,Fail,0,b,Fail,0,r,Indep_Success,1
42,12438,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,g,Fail,0,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0,r,Indep_Success,1,r,Indep_Success,1
43,9510,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Indep_Success,1,r,Indep_Success,1,r,Indep_Success,1,b,Fail,0,r,Fail,0,g,Fail,0
44,4998,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Fail,0,b,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,r,Fail,0
45,5014,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,r,Fail,0,g,Fail,0,b,Fail,0,g,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0
46,12382,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,b,Fail,0,g,Fail,0
47,10122,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,r,Indep_Success,1,g,Fail,0,g,Fail,0,b,Fail,0,r,Indep_Success,1
48,11687,False,b,Coop_Success,2,g,Coop_Success,2,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,r,Indep_Success,1,r,Indep_Success,1,g,Fail,0,r,Indep_Success,1,r,Fail,0
49,7527,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Indep_Success,1,b,Fail,0,g,Fail,0,r,Indep_Success,1,r,Indep_Success,1,r,Fail,0
50,6566,False,b,Coop_Success,2,g,Coop_Success,2,b,Fail,0,g,Fail,0,r,Indep_Success,1,b,Fail,0,g,Fail,0,b,Fail,0,r,Fail,0,g,Fail,0
